date,track,hhmm,category_raw,category_norm,dog_1,dog_2,dog_3
2026-01-17,Oxford,20:43,A,A,Classic Waltz,Ma Baker,Ballymac Shelly
2026-01-17,Oxford,21:01,A,A,Mylane Curly,Spot On Amethyst,Savana Ohmy Jo
2026-01-17,Oxford,21:18,A,A,Savana Sakari,Savana Boycie,Jurassic Joker
2026-01-17,Doncaster,18:11,A,A,Royal Flush,Emers Jazzy,Missyoulikecrazy
2026-01-17,Doncaster,18:29,A,A,Ballymac Alexis,Cockney Summer,Stoneparkfortune
2026-01-17,Doncaster,18:46,A,A,Roundies Shadow,Abigails Sunny,Grouchos Emily
2026-01-17,Doncaster,19:04,A,A,Links Gloria,The Frogs Legacy,Cockneychampagne
2026-01-17,Doncaster,19:24,A,A,Slaneyside Jan,Abigail Surprise,Ardmoulin Flyer
2026-01-17,Doncaster,19:42,A,A,Leahs Pat,Ballinabola Zoey,Grovenor Apache
2026-01-17,Doncaster,19:58,A,A,Toddys Wolf,Slaneyside Swade,Grovenor Mona
2026-01-17,Doncaster,20:16,A,A,Look Smart,Butlers Lane,Unanimous Leon
2026-01-17,Doncaster,20:34,A,A,Tiermana Blaze,Sole Focus,Ballymac Alyssa
2026-01-17,Doncaster,20:52,A,A,Haggard Badger,Bouncing Monarch,Soapy Suds
2026-01-17,Sheffield,19:30,A,A,Catunda Missy,Thee Quiet Man,Lightfoot Rocky
2026-01-17,Sheffield,19:47,A,A,Croagh Patrick,Corcass Ranger,Dapper Ted
2026-01-17,Sheffield,20:04,A,A,Gurtnacrehy Mark,Joyces Sadie,Sheffield Bella
2026-01-17,Sheffield,20:21,A,A,Colrose Blue,Keady Wine,Golfing Queen
2026-01-17,Sheffield,20:38,A,A,Mustang Gracie,Station Cracker,The Other Coco
2026-01-17,Sheffield,20:55,A,A,Colrose Flyer,Epic Estimate,La Flor
2026-01-17,Sheffield,21:12,A,A,Tatti Gamble,Crystal Bruno,Lightfoot Dream
2026-01-17,Sheffield,21:29,A,A,Rowington Rebel,La Hermosa,Footfield Lottie
