date,track,hhmm,category_raw,category_norm,dog_1,dog_2,dog_3
2026-01-18,Sunderland,11:27,A7,A7,Balmoral Lucy,Barnfield Muffin,Anglesey Flight
2026-01-18,Sunderland,11:43,D3,D3,Avas Attitude,Malibu Jota,Maes Star
2026-01-18,Sunderland,12:01,A7,A7,Watermill Minnie,Mascot Samson,Fruity Ninja
2026-01-18,Sunderland,12:18,A3,A3,Droopys Kendall,Headford Srange,Surprise Blue
2026-01-18,Sunderland,12:34,HP,HP,Kippers Puma,Westforth Doit,Lillies Bubbles
2026-01-18,Sunderland,12:51,A5,A5,Slowdown Seamus,Droopys Fetch,Anglesey Rolex
2026-01-18,Sunderland,13:08,D2,D2,Hi Tyson,Knocknadoguebony,Canya Peggy
2026-01-18,Sunderland,13:26,A8,A8,Marinas Macau,Mascot Delilah,Dellser Cassie
2026-01-18,Sunderland,13:42,HP,HP,Mustang Poppy,Solsbury Hill,Cahirard Blue
2026-01-18,Sunderland,13:59,A4,A4,Panda Panda,Emers Pandora,Aero Donishall
2026-01-18,Sunderland,14:14,A5,A5,Roaming Ariana,Droopys Marie,Stackemup Jack
2026-01-18,Yarmouth,11:34,A7,A7,Oh So Risky,Zephyr Rampage,Zoo Da Man
2026-01-18,Yarmouth,11:52,A8,A8,Deelish Lily,Whos The Culprit,Romantic Icon
2026-01-18,Yarmouth,12:09,A5,A5,Plain Virtue,Marinas Diva,Unlikely Biscuit
2026-01-18,Yarmouth,12:26,IV,IV,Getaway Car,Crypto Only Mate,Laughil Pippa
2026-01-18,Yarmouth,12:42,A8,A8,Wachovia Manor,Jinksy Lass,Harlequin Xena
2026-01-18,Yarmouth,12:59,A3,A3,Ballygloss Mike,Somersham Faith,Greizmann
2026-01-18,Yarmouth,13:17,A9,A9,Liberty Belle,Homesick Blues,Swift Lyrical
2026-01-18,Yarmouth,13:33,A6,A6,Derrygrath Freya,Angel Delight,Somersham Sox
2026-01-18,Yarmouth,13:51,A2,A2,Harlequin Gambit,Cassandras Girl,Somersham Lexie
2026-01-18,Yarmouth,14:07,A9,A9,Waikiki Sapphire,Cheery Girl,Trip No Bother
2026-01-18,Hove,14:23,A5,A5,Sly Big Bird,Lupi Lopez,Droopys Crafty
2026-01-18,Hove,14:41,A7,A7,Stone Cold Punk,Mustang Maverick,Yankee Molly
2026-01-18,Hove,15:01,A2,A2,Clonkeen Jim,Droopys Freckles,Sly Wobblebottom
2026-01-18,Hove,15:19,D3,D3,St Crispins Day,Natural World,Burrow Lightyear
2026-01-18,Hove,15:38,A10,A10,Roanna Dixie,Stefans Bomb,Speed Time
2026-01-18,Hove,15:57,A5,A5,Magical Tessa,Pocket Lacey,Backoftheline
2026-01-18,Hove,16:16,A2,A2,Sporting Bafta,Shes One Eighty,Senahel Pikachu
2026-01-18,Hove,16:34,A1,A1,Razor Gun,My Mate Ronnie,Razldazl Barkley
2026-01-18,Hove,16:53,A6,A6,Front Loaded,Caramels Cream,Hi Land Miss
2026-01-18,Hove,17:12,A3,A3,Gretna,Playit Cool Trig,Slick Sabo
2026-01-18,Hove,17:31,A4,A4,Exotic Princess,Able Partner,Kates Bart
2026-01-18,Hove,17:49,A1,A1,Broncos Bullet,Clairkeith Santi,Kick On Archie
2026-01-18,Sheffield,14:29,IV,IV,Romeo Force,Tricky Wiggles,Romeo Cobra
2026-01-18,Sheffield,14:48,IV,IV,Hoyland Lad,Crokers Darwin,Russanda Zara
2026-01-18,Sheffield,15:07,A6,A6,Magna Phoenix,Any Dream,Lowgate Blue Boy
2026-01-18,Sheffield,15:26,IV,IV,Aurora Dawn,Inca Connect,Vale Speedy
2026-01-18,Sheffield,15:44,IV,IV,Cooladerrydancer,Aero Osprey,Aero Dignity
2026-01-18,Sheffield,16:03,A4,A4,Rockmount Lucy,Romeo Pilot,Unique John
2026-01-18,Sheffield,16:22,A3,A3,Very Elegant,Swift Mel,Savanaregimental
2026-01-18,Sheffield,16:41,A5,A5,Effernogue Dave,Nolas Conroe,Coxys Girl
2026-01-18,Sheffield,16:59,A8,A8,Classy Chloe,Dirty Velvet,Bromista
2026-01-18,Sheffield,17:18,A2,A2,Good Knick,Slippy Keith,Chart Topper
2026-01-18,Sheffield,17:37,D3,D3,Spatter The Dew,Freedom Layla,Pelorus Jack
2026-01-18,Sheffield,17:56,D3,D3,Cyclers Ruby,Lowgate Jack,Shockwave Taboo
2026-01-18,Towcester,14:36,A7,A7,Flickering King,Vinegarhill Luna,Itwaswhatitwas
2026-01-18,Towcester,14:54,OR,OR,Chasing Rachel,Fabulous Hana,Fabulous Trick
2026-01-18,Towcester,15:13,OR,OR,Fire Height Lila,Not So Steady,Baby Warrior
2026-01-18,Towcester,15:32,A2,A2,Spiridon Zelus,Java Joan,Signet Tess
2026-01-18,Towcester,15:51,OR,OR,Droopys Graph,Newinn Tonic,Bower Aoibhin
2026-01-18,Towcester,16:09,A6,A6,Moredramakirstie,Homebound Blanko,Jackies Hero
2026-01-18,Towcester,16:28,OR,OR,Born Racer,Pavilion Team,Broadway Murty
2026-01-18,Towcester,16:47,S1,S1,Salacres Belleza,Innfield Charm,Coffee Time Guys
2026-01-18,Towcester,17:06,OR,OR,Slick Sentinel,Getup Me Izzy,Fabulous Aria
2026-01-18,Towcester,17:24,A5,A5,Flickering Belle,Salacres Sahara,Marians Hero
2026-01-18,Towcester,17:43,D2,D2,Flitwick Girl,Burrow Amazing,Claim The Stars
2026-01-18,Towcester,18:02,A4,A4,Salacresvictoria,Unlikely Doohoma,Glencoe Queen
2026-01-18,Kinsley,18:08,D3,D3,Tally Ho Lexi,Fuel Inthe Flame,Moanteen Chick
2026-01-18,Kinsley,18:26,A6,A6,Teddys Beauty,Not Wired Up,Blueview Sugger
2026-01-18,Kinsley,18:42,D5,D5,Lets Go Winnie,Noirs Coach,Lets Go Drago
2026-01-18,Kinsley,18:59,A8,A8,Maceyslittlegem,Two For Gold,Mohican Yoshi
2026-01-18,Kinsley,19:16,D1,D1,Ard Macha Abu,Canya Jet,Clongeen General
2026-01-18,Kinsley,19:33,HP,HP,Holborn Betty,Deecee Ava,Sober Ballad
2026-01-18,Kinsley,19:49,D2,D2,Speedy Killeavy,Deelish Lucy,Grovenor Jessie
2026-01-18,Kinsley,20:07,HP,HP,Yeah Mick,Lightfoot Elle,Nellys Promise
2026-01-18,Kinsley,20:24,A5,A5,Ballydaniel Cat,Woodenstown Soul,Laid Back
2026-01-18,Kinsley,20:41,A4,A4,Take Top Spot,Highview Roots,Swift Office
2026-01-18,Kinsley,20:59,A7,A7,Zaconey Venus,Baybush Rush,Hazelgrove Amani
2026-01-18,Kinsley,21:16,D4,D4,Daniel Maxi,Ineedabreak,Spooky Angel
2026-01-18,Doncaster,11:21,B2,B2,Send For You,Trewmount Lady,Miller Spirit
2026-01-18,Doncaster,11:38,B2,B2,Ballinderry Luna,Ballymac Aman,Ballyconnell Rua
2026-01-18,Doncaster,11:54,B2,B2,Gaytime Mona,Redbrick Milner,Jazza Man
2026-01-18,Doncaster,12:12,B4,B4,Redbrick Beyonce,Redbrick Cool,Millhouse Charm
2026-01-18,Doncaster,12:29,B4,B4,Redbrick Rose,Task Maverick,Glitter Cooky
2026-01-18,Doncaster,12:46,B2,B2,Redbrick Daisy,Gotacrushonyou,Lovey Longlegs
2026-01-18,Doncaster,13:03,B4,B4,Redbrick Nuke,Luttons Reuben,Stoney Bono
2026-01-18,Doncaster,13:19,D2,D2,Keefill Apollo,Sparks Charm,Romantic Dano
2026-01-18,Valley,11:29,A2,A2,Da Bold Paris,Clongeel Bono,Droopys Priority
2026-01-18,Valley,11:47,D2,D2,Hawkfield Coco,Hawkfield Jazz,Amiganwhitenose
2026-01-18,Valley,12:04,A2,A2,Droopys Nijinsky,Sudden Bolt,Crokers Faye
2026-01-18,Valley,12:21,D5,D5,Frugal Frank,Hawkfield Hoffa,Tobergal Suzanne
2026-01-18,Valley,12:38,A3,A3,Santas Ranger,Kranky Tom,Southfield Kate
2026-01-18,Valley,12:54,D4,D4,Kippagh Epic,Crokers Lisa,Millbank Lolly
2026-01-18,Valley,13:12,D6,D6,Hawkfield Nina,Pure Paora,Faradays Sparkle
2026-01-18,Valley,13:29,A5,A5,Crokers Pat,Blastoff Oscar,Country Skipper
2026-01-18,Valley,13:47,D6,D6,Hawkfield Zippy,Bow Fiddle Rock,Hawkfield Ellie
2026-01-18,Valley,14:03,A6,A6,Knockmant Zee,Crokers Grayson,Crokers Anton
2026-01-18,Valley,14:18,D5,D5,Hawkfield Jasmin,To Bright,Comer Ranger
2026-01-18,Oxford,14:33,A4,A4,Ragdoll Rosie,Bonita Moon,Dreamin Dot
2026-01-18,Oxford,14:52,A2,A2,Swift Quarter,Shes Welcome,Deelish Crofty
2026-01-18,Oxford,15:11,OR,OR,Eze,Ballintemple Dan,Dunquin Rory
2026-01-18,Oxford,15:29,OR,OR,Alright Twinkle,Easy Molly,Newinn Bliss
2026-01-18,Oxford,15:49,OR,OR,Jazzy Soul,Face The Storm,Dog Dog
2026-01-18,Oxford,16:07,OR,OR,Carrick Scholsey,Hoholetsgo,Dunquin Simone
2026-01-18,Oxford,16:26,OR,OR,Eagles Respect,Baggios Dilemma,Malcolm Bosh
2026-01-18,Oxford,16:44,OR,OR,Outa The Clouds,Jazzy Mia,Doc Susie
2026-01-18,Oxford,17:03,OR,OR,Droopys Aladdin,Always Hoffa,Crossfield Niall
2026-01-18,Star Pelaw,18:11,A4,A4,Shanahee Roxy,Ma Darlin,Duggies Lilo
2026-01-18,Star Pelaw,18:29,A8,A8,Catunda Leo,Glenbowen Mabel,Oceans Blue
2026-01-18,Star Pelaw,18:46,OR,OR,Killieford Goram,Fabulous Spell,Winter King
2026-01-18,Star Pelaw,19:04,OR,OR,Lightfoot Jamie,Catch The Wind,Loxleys Rex
2026-01-18,Star Pelaw,19:24,OR,OR,Freedom Pro Am,Townspark Taylor,Gallarus Sniper
2026-01-18,Star Pelaw,19:42,OR,OR,Makeit Champion,Twistablindeye,Roanna Speed
2026-01-18,Star Pelaw,19:58,OR,OR,Marymount Joy,Tickets King,Wanted Tibet
2026-01-18,Star Pelaw,20:16,OR,OR,Bisto Jayden,Mid Tipp Franky,Eden Hagrid
2026-01-18,Star Pelaw,20:34,OR,OR,Fruity Fanta,Beslo Sarah,Cash Maker
2026-01-18,Star Pelaw,20:52,OR,OR,Sunnyside Ted,Dreamin Porcha,Tullymurry Shine
2026-01-18,Star Pelaw,21:09,OR,OR,Fruity Beauty,Ballinabola Eve,Spy Master
2026-01-18,Star Pelaw,21:26,OR,OR,Keefill Darwin,Leathems Bluey,Links Viper
2026-01-18,Star Pelaw,21:41,OR,OR,Sunnyside Jayden,Blueys Elle,Burrow Bell
