track_name,race_time_label,race_time_iso,race_url
Hove,21:06,2026-01-17T21:06,https://www.betfair.com/exchange/plus/greyhound-racing/market/1.252830276
Hove,21:26,2026-01-17T21:26,https://www.betfair.com/exchange/plus/greyhound-racing/market/1.252830278
Hove,21:46,2026-01-17T21:46,https://www.betfair.com/exchange/plus/greyhound-racing/market/1.252830280
Doncaster,18:11,2026-01-17T18:11,https://www.betfair.com/exchange/plus/greyhound-racing/market/1.252833854
Doncaster,18:29,2026-01-17T18:29,https://www.betfair.com/exchange/plus/greyhound-racing/market/1.252833856
Doncaster,18:46,2026-01-17T18:46,https://www.betfair.com/exchange/plus/greyhound-racing/market/1.252833858
Doncaster,19:04,2026-01-17T19:04,https://www.betfair.com/exchange/plus/greyhound-racing/market/1.252833860
Doncaster,19:24,2026-01-17T19:24,https://www.betfair.com/exchange/plus/greyhound-racing/market/1.252833862
Doncaster,19:42,2026-01-17T19:42,https://www.betfair.com/exchange/plus/greyhound-racing/market/1.252833864
Doncaster,19:58,2026-01-17T19:58,https://www.betfair.com/exchange/plus/greyhound-racing/market/1.252833866
Doncaster,20:16,2026-01-17T20:16,https://www.betfair.com/exchange/plus/greyhound-racing/market/1.252833868
Doncaster,20:34,2026-01-17T20:34,https://www.betfair.com/exchange/plus/greyhound-racing/market/1.252833870
Doncaster,20:52,2026-01-17T20:52,https://www.betfair.com/exchange/plus/greyhound-racing/market/1.252833872
Monmore,18:14,2026-01-17T18:14,https://www.betfair.com/exchange/plus/greyhound-racing/market/1.252832611
Monmore,18:34,2026-01-17T18:34,https://www.betfair.com/exchange/plus/greyhound-racing/market/1.252832613
Monmore,18:54,2026-01-17T18:54,https://www.betfair.com/exchange/plus/greyhound-racing/market/1.252832615
Monmore,19:14,2026-01-17T19:14,https://www.betfair.com/exchange/plus/greyhound-racing/market/1.252832617
Monmore,19:34,2026-01-17T19:34,https://www.betfair.com/exchange/plus/greyhound-racing/market/1.252832619
Monmore,19:54,2026-01-17T19:54,https://www.betfair.com/exchange/plus/greyhound-racing/market/1.252832621
Monmore,20:14,2026-01-17T20:14,https://www.betfair.com/exchange/plus/greyhound-racing/market/1.252832623
