date,track,track_key,hhmm,race_time_iso,category_raw,category_norm,TimeformTop1,TimeformTop2,TimeformTop3,Forecast1,Forecast2,Forecast3,Forecast1Odds,Forecast2Odds,Forecast3Odds
2026-01-18,Sunderland,Sunderland,11:27,2026-01-18T11:27,A7,A7,Balmoral Lucy,Barnfield Muffin,Anglesey Flight,Balmoral Lucy,Barnfield Muffin,Anglesey Flight,2.88,4.33,5.0
2026-01-18,Sunderland,Sunderland,11:43,2026-01-18T11:43,D3,D3,Avas Attitude,Malibu Jota,Maes Star,Malibu Jota,Avas Attitude,Maes Star,2.25,3.5,6.5
2026-01-18,Sunderland,Sunderland,12:01,2026-01-18T12:01,A7,A7,Watermill Minnie,Mascot Samson,Fruity Ninja,Watermill Minnie,Mascot Samson,Fruity Ninja,2.88,5.0,5.0
2026-01-18,Sunderland,Sunderland,12:18,2026-01-18T12:18,A3,A3,Droopys Kendall,Headford Srange,Surprise Blue,Headford Srange,Droopys Kendall,Rebel Da Gama,4.0,4.5,5.0
2026-01-18,Sunderland,Sunderland,12:34,2026-01-18T12:34,HP,HP,Kippers Puma,Westforth Doit,Lillies Bubbles,Kippers Puma,Westforth Doit,Lemming Schvitz,3.25,3.75,5.0
2026-01-18,Sunderland,Sunderland,12:51,2026-01-18T12:51,A5,A5,Slowdown Seamus,Droopys Fetch,Anglesey Rolex,Droopys Fetch,Slowdown Seamus,Anglesey Rolex,3.25,4.5,5.0
2026-01-18,Sunderland,Sunderland,13:08,2026-01-18T13:08,D2,D2,Hi Tyson,Knocknadoguebony,Canya Peggy,Hi Tyson,Macys Majesty,Knocknadoguebony,3.25,4.0,5.0
2026-01-18,Sunderland,Sunderland,13:26,2026-01-18T13:26,A8,A8,Marinas Macau,Mascot Delilah,Dellser Cassie,Mascot Delilah,Marinas Macau,Dellser Cassie,2.88,3.0,4.0
2026-01-18,Sunderland,Sunderland,13:42,2026-01-18T13:42,HP,HP,Mustang Poppy,Solsbury Hill,Cahirard Blue,Cahirard Blue,Mustang Poppy,Solsbury Hill,3.75,4.0,4.0
2026-01-18,Sunderland,Sunderland,13:59,2026-01-18T13:59,A4,A4,Panda Panda,Emers Pandora,Aero Donishall,Panda Panda,Emers Pandora,Aero Donishall,2.5,3.5,4.33
2026-01-18,Sunderland,Sunderland,14:14,2026-01-18T14:14,A5,A5,Roaming Ariana,Droopys Marie,Stackemup Jack,Roaming Ariana,Droopys Marie,Aero Tioman,2.1,4.5,6.0
2026-01-18,Yarmouth,Yarmouth,11:34,2026-01-18T11:34,A7,A7,Oh So Risky,Zephyr Rampage,Zoo Da Man,Oh So Risky,Zephyr Rampage,Zoo Da Man,3.0,4.0,5.0
2026-01-18,Yarmouth,Yarmouth,11:52,2026-01-18T11:52,A8,A8,Deelish Lily,Whos The Culprit,Romantic Icon,Deelish Lily,Romantic Icon,Oh So Lucy,3.0,4.33,4.5
2026-01-18,Yarmouth,Yarmouth,12:09,2026-01-18T12:09,A5,A5,Plain Virtue,Marinas Diva,Unlikely Biscuit,Marinas Diva,Plain Virtue,Unlikely Biscuit,3.2,3.5,4.0
2026-01-18,Yarmouth,Yarmouth,12:26,2026-01-18T12:26,IV,IV,Getaway Car,Crypto Only Mate,Laughil Pippa,Getaway Car,Crypto Only Mate,Laughil Pippa,1.83,6.0,6.5
2026-01-18,Yarmouth,Yarmouth,12:42,2026-01-18T12:42,A8,A8,Wachovia Manor,Jinksy Lass,Harlequin Xena,Wachovia Manor,Jinksy Lass,Gortnagrage Bell,3.25,4.0,5.0
2026-01-18,Yarmouth,Yarmouth,12:59,2026-01-18T12:59,A3,A3,Ballygloss Mike,Somersham Faith,Greizmann,Ballygloss Mike,Somersham Faith,Greizmann,3.25,3.75,4.0
2026-01-18,Yarmouth,Yarmouth,13:17,2026-01-18T13:17,A9,A9,Liberty Belle,Homesick Blues,Swift Lyrical,Liberty Belle,Homesick Blues,Seeyouatlake,2.5,4.0,6.0
2026-01-18,Yarmouth,Yarmouth,13:33,2026-01-18T13:33,A6,A6,Derrygrath Freya,Angel Delight,Somersham Sox,Somersham Sox,Derrygrath Freya,Take Off Disney,3.75,4.5,5.0
2026-01-18,Yarmouth,Yarmouth,13:51,2026-01-18T13:51,A2,A2,Harlequin Gambit,Cassandras Girl,Somersham Lexie,Cassandras Girl,Harlequin Gambit,Somersham Lexie,2.38,4.5,5.5
2026-01-18,Yarmouth,Yarmouth,14:07,2026-01-18T14:07,A9,A9,Waikiki Sapphire,Cheery Girl,Trip No Bother,Waikiki Sapphire,Cheery Girl,Trip No Bother,2.62,4.5,5.0
2026-01-18,Hove,Hove,14:23,2026-01-18T14:23,A5,A5,Sly Big Bird,Lupi Lopez,Droopys Crafty,Sly Big Bird,Lupi Lopez,Droopys Crafty,3.0,4.5,5.5
2026-01-18,Hove,Hove,14:41,2026-01-18T14:41,A7,A7,Stone Cold Punk,Mustang Maverick,Yankee Molly,Stone Cold Punk,Mustang Maverick,Yankee Molly,2.0,4.0,5.0
2026-01-18,Hove,Hove,15:01,2026-01-18T15:01,A2,A2,Clonkeen Jim,Droopys Freckles,Sly Wobblebottom,Sly Wobblebottom,Clonkeen Jim,Droopys Freckles,2.38,3.2,3.75
2026-01-18,Hove,Hove,15:19,2026-01-18T15:19,D3,D3,St Crispins Day,Natural World,Burrow Lightyear,St Crispins Day,Natural World,Burrow Lightyear,1.73,3.75,4.5
2026-01-18,Hove,Hove,15:38,2026-01-18T15:38,A10,A10,Roanna Dixie,Stefans Bomb,Speed Time,Roanna Dixie,Stefans Bomb,Speed Time,2.88,4.0,4.0
2026-01-18,Hove,Hove,15:57,2026-01-18T15:57,A5,A5,Magical Tessa,Pocket Lacey,Backoftheline,Magical Tessa,Pocket Lacey,Signet Clo Clo,3.25,3.25,4.33
2026-01-18,Hove,Hove,16:16,2026-01-18T16:16,A2,A2,Sporting Bafta,Shes One Eighty,Senahel Pikachu,Sporting Bafta,Shes One Eighty,Senahel Pikachu,3.0,3.75,4.0
2026-01-18,Hove,Hove,16:34,2026-01-18T16:34,A1,A1,Razor Gun,My Mate Ronnie,Razldazl Barkley,My Mate Ronnie,Razor Gun,Razldazl Barkley,2.75,4.0,4.33
2026-01-18,Hove,Hove,16:53,2026-01-18T16:53,A6,A6,Front Loaded,Caramels Cream,Hi Land Miss,Front Loaded,Caramels Cream,Uptown Lass,3.5,3.75,6.0
2026-01-18,Hove,Hove,17:12,2026-01-18T17:12,A3,A3,Gretna,Playit Cool Trig,Slick Sabo,Gretna,Playit Cool Trig,Slick Sabo,2.25,3.0,5.0
2026-01-18,Hove,Hove,17:31,2026-01-18T17:31,A4,A4,Exotic Princess,Able Partner,Kates Bart,Able Partner,Exotic Princess,Kates Bart,4.0,4.5,4.5
2026-01-18,Hove,Hove,17:49,2026-01-18T17:49,A1,A1,Broncos Bullet,Clairkeith Santi,Kick On Archie,Broncos Bullet,Clairkeith Santi,Kick On Archie,2.88,4.0,4.33
2026-01-18,Sheffield,Sheffield,14:29,2026-01-18T14:29,IV,IV,Romeo Force,Tricky Wiggles,Romeo Cobra,Romeo Force,Tricky Wiggles,Romeo Cobra,3.0,3.0,4.5
