date,track,track_key,hhmm,race_time_iso,category_raw,category_norm,TimeformTop1,TimeformTop2,TimeformTop3,Forecast1,Forecast2,Forecast3,Forecast1Odds,Forecast2Odds,Forecast3Odds
2026-01-17,Monmore,Monmore,20:34,2026-01-17T20:34,A,A,Duchess,Amazing Heather,Suave Lily,Duchess,Amazing Heather,Suave Lily,3.25,4.0,4.33
2026-01-17,Monmore,Monmore,20:54,2026-01-17T20:54,A,A,Photo Package,Mustang General,Winnie Marie,Photo Package,Winnie Marie,Mustang General,2.5,3.75,3.75
2026-01-17,Monmore,Monmore,21:14,2026-01-17T21:14,A,A,Droopys Admirer,Sugar Girl Katie,Vixons Matt,Vixons Matt,Droopys Admirer,Sugar Girl Katie,3.75,3.75,4.33
2026-01-17,Monmore,Monmore,21:34,2026-01-17T21:34,A,A,Cazzers Lass,Bounceback Bucks,Bangon Erika,Cazzers Lass,Bangon Erika,Bounceback Bucks,2.38,3.75,4.0
2026-01-17,Monmore,Monmore,21:50,2026-01-17T21:50,A,A,Aero Penda,Swift Zoo,Got The Large,Aero Penda,Swift Zoo,Got The Large,2.62,3.75,6.0
2026-01-17,Dunstall Park,Dunstall Park,18:20,2026-01-17T18:20,A,A,Lemon Yoli,Point Break,,Lemon Yoli,Point Break,Halcrow Saltire,3.75,4.0,6.0
2026-01-17,Dunstall Park,Dunstall Park,18:38,2026-01-17T18:38,A,A,Dadurunrun,Lynnia Max,Strictly Rosey,Dadurunrun,Lynnia Max,King Richie,2.88,4.5,5.0
2026-01-17,Dunstall Park,Dunstall Park,18:58,2026-01-17T18:58,A,A,Amys Star,Moanteen Molly,Swift Wag,Amys Star,Swift Wag,Moanteen Molly,2.62,3.5,5.0
2026-01-17,Dunstall Park,Dunstall Park,19:18,2026-01-17T19:18,A,A,Mohican Lisa,Haka Luigi,Amazing Pixie,Mohican Lisa,Haka Luigi,Amazing Pixie,2.88,4.0,6.0
2026-01-17,Dunstall Park,Dunstall Park,19:38,2026-01-17T19:38,A,A,Crokers Bic,Moneypoint Wiljo,Jab And Run,Crokers Bic,Moneypoint Wiljo,Jab And Run,3.5,4.0,4.5
2026-01-17,Dunstall Park,Dunstall Park,19:58,2026-01-17T19:58,A,A,Distant Maggie,Loveland,Ballymac Og,Distant Maggie,Loveland,Ballymac Og,2.75,3.75,4.0
