date,track,hhmm,category_raw,category_norm,dog_name,strategy_tag,stake
2026-01-18,Sunderland,11:27,A7,A7,Balmoral Lucy,BACK,1.0
2026-01-18,Sunderland,11:27,A7,A7,Barnfield Muffin,BACK,1.0
2026-01-18,Sunderland,11:27,A7,A7,Anglesey Flight,BACK,1.0
2026-01-18,Valley,11:29,A2,A2,Da Bold Paris,BACK,1.0
2026-01-18,Valley,11:29,A2,A2,Clongeel Bono,BACK,1.0
2026-01-18,Valley,11:29,A2,A2,Rollerball,BACK,1.0
2026-01-18,Yarmouth,11:34,A7,A7,Oh So Risky,BACK,1.0
2026-01-18,Yarmouth,11:34,A7,A7,Zephyr Rampage,BACK,1.0
2026-01-18,Yarmouth,11:34,A7,A7,Zoo Da Man,BACK,1.0
2026-01-18,Sunderland,11:43,D3,D3,Malibu Jota,LAY,1.0
2026-01-18,Sunderland,11:43,D3,D3,Avas Attitude,LAY,1.0
2026-01-18,Sunderland,11:43,D3,D3,Maes Star,LAY,1.0
2026-01-18,Valley,11:47,D2,D2,Hawkfield Coco,LAY,1.0
2026-01-18,Valley,11:47,D2,D2,Hawkfield Jazz,LAY,1.0
2026-01-18,Valley,11:47,D2,D2,Amiganwhitenose,LAY,1.0
2026-01-18,Yarmouth,11:52,A8,A8,Deelish Lily,BACK,1.0
2026-01-18,Yarmouth,11:52,A8,A8,Romantic Icon,BACK,1.0
2026-01-18,Yarmouth,11:52,A8,A8,Oh So Lucy,BACK,1.0
2026-01-18,Sunderland,12:01,A7,A7,Watermill Minnie,BACK,1.0
2026-01-18,Sunderland,12:01,A7,A7,Mascot Samson,BACK,1.0
2026-01-18,Sunderland,12:01,A7,A7,Fruity Ninja,BACK,1.0
2026-01-18,Valley,12:04,A2,A2,Droopys Nijinsky,BACK,1.0
2026-01-18,Valley,12:04,A2,A2,Sudden Bolt,BACK,1.0
2026-01-18,Valley,12:04,A2,A2,Crokers Faye,BACK,1.0
2026-01-18,Yarmouth,12:09,A5,A5,Marinas Diva,BACK,1.0
2026-01-18,Yarmouth,12:09,A5,A5,Plain Virtue,BACK,1.0
2026-01-18,Yarmouth,12:09,A5,A5,Unlikely Biscuit,BACK,1.0
2026-01-18,Sunderland,12:18,A3,A3,Headford Srange,BACK,1.0
2026-01-18,Sunderland,12:18,A3,A3,Droopys Kendall,BACK,1.0
2026-01-18,Sunderland,12:18,A3,A3,Rebel Da Gama,BACK,1.0
2026-01-18,Valley,12:21,D5,D5,Frugal Frank,LAY,1.0
2026-01-18,Valley,12:21,D5,D5,Tobergal Suzanne,LAY,1.0
2026-01-18,Valley,12:21,D5,D5,Hawkfield Hoffa,LAY,1.0
2026-01-18,Sunderland,12:34,HP,HP,Kippers Puma,LAY,1.0
2026-01-18,Sunderland,12:34,HP,HP,Westforth Doit,LAY,1.0
2026-01-18,Sunderland,12:34,HP,HP,Lemming Schvitz,LAY,1.0
2026-01-18,Valley,12:38,A3,A3,Santas Ranger,BACK,1.0
2026-01-18,Valley,12:38,A3,A3,Kranky Tom,BACK,1.0
2026-01-18,Valley,12:38,A3,A3,Good Streak,BACK,1.0
2026-01-18,Yarmouth,12:42,A8,A8,Wachovia Manor,BACK,1.0
2026-01-18,Yarmouth,12:42,A8,A8,Jinksy Lass,BACK,1.0
2026-01-18,Yarmouth,12:42,A8,A8,Gortnagrage Bell,BACK,1.0
2026-01-18,Sunderland,12:51,A5,A5,Droopys Fetch,BACK,1.0
2026-01-18,Sunderland,12:51,A5,A5,Slowdown Seamus,BACK,1.0
2026-01-18,Sunderland,12:51,A5,A5,Anglesey Rolex,BACK,1.0
2026-01-18,Valley,12:54,D4,D4,Kippagh Epic,LAY,1.0
2026-01-18,Valley,12:54,D4,D4,Crokers Lisa,LAY,1.0
2026-01-18,Valley,12:54,D4,D4,Cara Trixie,LAY,1.0
2026-01-18,Yarmouth,12:59,A3,A3,Ballygloss Mike,BACK,1.0
2026-01-18,Yarmouth,12:59,A3,A3,Somersham Faith,BACK,1.0
2026-01-18,Yarmouth,12:59,A3,A3,Greizmann,BACK,1.0
2026-01-18,Sunderland,13:08,D2,D2,Hi Tyson,LAY,1.0
2026-01-18,Sunderland,13:08,D2,D2,Macys Majesty,LAY,1.0
2026-01-18,Sunderland,13:08,D2,D2,Knocknadoguebony,LAY,1.0
2026-01-18,Valley,13:12,D6,D6,Hawkfield Nina,LAY,1.0
2026-01-18,Valley,13:12,D6,D6,Pure Paora,LAY,1.0
2026-01-18,Valley,13:12,D6,D6,Enchanted Blaze,LAY,1.0
2026-01-18,Yarmouth,13:17,A9,A9,Liberty Belle,BACK,1.0
2026-01-18,Yarmouth,13:17,A9,A9,Homesick Blues,BACK,1.0
2026-01-18,Yarmouth,13:17,A9,A9,Seeyouatlake,BACK,1.0
2026-01-18,Doncaster,13:19,D2,D2,Keefill Apollo,LAY,1.0
2026-01-18,Doncaster,13:19,D2,D2,Sparks Charm,LAY,1.0
2026-01-18,Doncaster,13:19,D2,D2,Romantic Dano,LAY,1.0
2026-01-18,Sunderland,13:26,A8,A8,Mascot Delilah,BACK,1.0
2026-01-18,Sunderland,13:26,A8,A8,Marinas Macau,BACK,1.0
2026-01-18,Sunderland,13:26,A8,A8,Dellser Cassie,BACK,1.0
2026-01-18,Valley,13:29,A5,A5,Crokers Pat,BACK,1.0
2026-01-18,Valley,13:29,A5,A5,Blastoff Oscar,BACK,1.0
2026-01-18,Valley,13:29,A5,A5,Country Skipper,BACK,1.0
2026-01-18,Yarmouth,13:33,A6,A6,Somersham Sox,BACK,1.0
2026-01-18,Yarmouth,13:33,A6,A6,Derrygrath Freya,BACK,1.0
2026-01-18,Yarmouth,13:33,A6,A6,Take Off Disney,BACK,1.0
2026-01-18,Sunderland,13:42,HP,HP,Cahirard Blue,LAY,1.0
2026-01-18,Sunderland,13:42,HP,HP,Mustang Poppy,LAY,1.0
2026-01-18,Sunderland,13:42,HP,HP,Solsbury Hill,LAY,1.0
2026-01-18,Valley,13:47,D6,D6,Hawkfield Zippy,LAY,1.0
2026-01-18,Valley,13:47,D6,D6,Bow Fiddle Rock,LAY,1.0
2026-01-18,Valley,13:47,D6,D6,Pandy Morgan,LAY,1.0
2026-01-18,Yarmouth,13:51,A2,A2,Cassandras Girl,BACK,1.0
2026-01-18,Yarmouth,13:51,A2,A2,Harlequin Gambit,BACK,1.0
2026-01-18,Yarmouth,13:51,A2,A2,Somersham Lexie,BACK,1.0
2026-01-18,Sunderland,13:59,A4,A4,Panda Panda,BACK,1.0
2026-01-18,Sunderland,13:59,A4,A4,Emers Pandora,BACK,1.0
2026-01-18,Sunderland,13:59,A4,A4,Aero Donishall,BACK,1.0
2026-01-18,Valley,14:03,A6,A6,Knockmant Zee,BACK,1.0
2026-01-18,Valley,14:03,A6,A6,Crokers Grayson,BACK,1.0
2026-01-18,Valley,14:03,A6,A6,Crokers Anton,BACK,1.0
