date,track,hhmm,category_raw,category_norm,forecast_1,forecast_2,forecast_3,forecast_1_odds,forecast_2_odds,forecast_3_odds
2026-01-18,Sunderland,11:27,A7,A7,Balmoral Lucy,Barnfield Muffin,Anglesey Flight,2.88,4.33,5.0
2026-01-18,Sunderland,11:43,D3,D3,Malibu Jota,Avas Attitude,Maes Star,2.25,3.5,6.5
2026-01-18,Sunderland,12:01,A7,A7,Watermill Minnie,Mascot Samson,Fruity Ninja,2.88,5.0,5.0
2026-01-18,Sunderland,12:18,A3,A3,Headford Srange,Droopys Kendall,Rebel Da Gama,4.0,4.5,5.0
2026-01-18,Sunderland,12:34,HP,HP,Kippers Puma,Westforth Doit,Lemming Schvitz,3.25,3.75,5.0
2026-01-18,Sunderland,12:51,A5,A5,Droopys Fetch,Slowdown Seamus,Anglesey Rolex,3.25,4.5,5.0
2026-01-18,Sunderland,13:08,D2,D2,Hi Tyson,Macys Majesty,Knocknadoguebony,3.25,4.0,5.0
2026-01-18,Sunderland,13:26,A8,A8,Mascot Delilah,Marinas Macau,Dellser Cassie,2.88,3.0,4.0
2026-01-18,Sunderland,13:42,HP,HP,Cahirard Blue,Mustang Poppy,Solsbury Hill,3.75,4.0,4.0
2026-01-18,Sunderland,13:59,A4,A4,Panda Panda,Emers Pandora,Aero Donishall,2.5,3.5,4.33
2026-01-18,Sunderland,14:14,A5,A5,Roaming Ariana,Droopys Marie,Aero Tioman,2.1,4.5,6.0
2026-01-18,Yarmouth,11:34,A7,A7,Oh So Risky,Zephyr Rampage,Zoo Da Man,3.0,4.0,5.0
2026-01-18,Yarmouth,11:52,A8,A8,Deelish Lily,Romantic Icon,Oh So Lucy,3.0,4.33,4.5
2026-01-18,Yarmouth,12:09,A5,A5,Marinas Diva,Plain Virtue,Unlikely Biscuit,3.2,3.5,4.0
2026-01-18,Yarmouth,12:26,IV,IV,Getaway Car,Crypto Only Mate,Laughil Pippa,1.83,6.0,6.5
2026-01-18,Yarmouth,12:42,A8,A8,Wachovia Manor,Jinksy Lass,Gortnagrage Bell,3.25,4.0,5.0
2026-01-18,Yarmouth,12:59,A3,A3,Ballygloss Mike,Somersham Faith,Greizmann,3.25,3.75,4.0
2026-01-18,Yarmouth,13:17,A9,A9,Liberty Belle,Homesick Blues,Seeyouatlake,2.5,4.0,6.0
2026-01-18,Yarmouth,13:33,A6,A6,Somersham Sox,Derrygrath Freya,Take Off Disney,3.75,4.5,5.0
2026-01-18,Yarmouth,13:51,A2,A2,Cassandras Girl,Harlequin Gambit,Somersham Lexie,2.38,4.5,5.5
2026-01-18,Yarmouth,14:07,A9,A9,Waikiki Sapphire,Cheery Girl,Trip No Bother,2.62,4.5,5.0
2026-01-18,Hove,14:23,A5,A5,Sly Big Bird,Lupi Lopez,Droopys Crafty,3.0,4.5,5.5
2026-01-18,Hove,14:41,A7,A7,Stone Cold Punk,Mustang Maverick,Yankee Molly,2.0,4.0,5.0
2026-01-18,Hove,15:01,A2,A2,Sly Wobblebottom,Clonkeen Jim,Droopys Freckles,2.38,3.2,3.75
2026-01-18,Hove,15:19,D3,D3,St Crispins Day,Natural World,Burrow Lightyear,1.73,3.75,4.5
2026-01-18,Hove,15:38,A10,A10,Roanna Dixie,Stefans Bomb,Speed Time,2.88,4.0,4.0
2026-01-18,Hove,15:57,A5,A5,Magical Tessa,Pocket Lacey,Signet Clo Clo,3.25,3.25,4.33
2026-01-18,Hove,16:16,A2,A2,Sporting Bafta,Shes One Eighty,Senahel Pikachu,3.0,3.75,4.0
2026-01-18,Hove,16:34,A1,A1,My Mate Ronnie,Razor Gun,Razldazl Barkley,2.75,4.0,4.33
2026-01-18,Hove,16:53,A6,A6,Front Loaded,Caramels Cream,Uptown Lass,3.5,3.75,6.0
2026-01-18,Hove,17:12,A3,A3,Gretna,Playit Cool Trig,Slick Sabo,2.25,3.0,5.0
2026-01-18,Hove,17:31,A4,A4,Able Partner,Exotic Princess,Kates Bart,4.0,4.5,4.5
2026-01-18,Hove,17:49,A1,A1,Broncos Bullet,Clairkeith Santi,Kick On Archie,2.88,4.0,4.33
2026-01-18,Sheffield,14:29,IV,IV,Romeo Force,Tricky Wiggles,Romeo Cobra,3.0,3.0,4.5
2026-01-18,Sheffield,14:48,IV,IV,Hoyland Lad,Crokers Darwin,Aero Thunder,2.62,2.88,4.5
2026-01-18,Sheffield,15:07,A6,A6,Any Dream,Magna Phoenix,Lowgate Blue Boy,2.25,4.0,4.5
2026-01-18,Sheffield,15:26,IV,IV,Aurora Dawn,Vale Speedy,Inca Connect,1.57,4.5,6.0
2026-01-18,Sheffield,15:44,IV,IV,Cooladerrydancer,Aero Osprey,Aero Dignity,2.1,3.2,4.5
2026-01-18,Sheffield,16:03,A4,A4,Rockmount Lucy,Unique John,Romeo Pilot,1.73,3.5,5.0
2026-01-18,Sheffield,16:22,A3,A3,Very Elegant,Swift Mel,Savanaregimental,1.83,4.0,7.0
2026-01-18,Sheffield,16:41,A5,A5,Coxys Girl,Effernogue Dave,Nolas Conroe,3.75,3.75,4.0
2026-01-18,Sheffield,16:59,A8,A8,Classy Chloe,Dirty Velvet,Costly Chips,2.2,3.5,5.5
2026-01-18,Sheffield,17:18,A2,A2,Good Knick,Chart Topper,Slippy Keith,3.25,4.0,4.0
2026-01-18,Sheffield,17:37,D3,D3,Spatter The Dew,Freedom Layla,Pelorus Jack,2.38,4.0,4.0
2026-01-18,Sheffield,17:56,D3,D3,Lowgate Jack,Cyclers Ruby,Shockwave Taboo,3.2,3.5,3.75
2026-01-18,Towcester,14:36,A7,A7,Flickering King,Itwaswhatitwas,Vinegarhill Luna,3.75,4.33,4.5
2026-01-18,Towcester,14:54,OR,OR,Chasing Rachel,Fabulous Hana,Ballintee Uno,1.67,4.5,5.5
2026-01-18,Towcester,15:13,OR,OR,Not So Steady,Fire Height Lila,Cartoonist,3.25,3.5,5.0
2026-01-18,Towcester,15:32,A2,A2,Spiridon Zelus,Signet Tess,Java Joan,2.5,3.75,5.0
2026-01-18,Towcester,15:51,OR,OR,Droopys Graph,Bower Aoibhin,Newinn Tonic,1.67,5.0,5.0
2026-01-18,Towcester,16:09,A6,A6,Moredramakirstie,Salacres Damaine,Jackies Hero,3.25,4.5,5.0
2026-01-18,Towcester,16:28,OR,OR,Born Racer,Pavilion Team,Broadway Murty,1.57,4.5,4.5
2026-01-18,Towcester,16:47,S1,S1,Salacres Belleza,Innfield Charm,Coffee Time Guys,2.5,3.25,3.25
2026-01-18,Towcester,17:06,OR,OR,Slick Sentinel,Fabulous Aria,Getup Me Izzy,2.2,2.62,4.5
2026-01-18,Towcester,17:24,A5,A5,Flickering Belle,Salacres Sahara,Debossman,3.75,3.75,4.33
2026-01-18,Towcester,17:43,D2,D2,Flitwick Girl,Burrow Amazing,Salthill Albie,3.25,4.0,4.5
2026-01-18,Towcester,18:02,A4,A4,Salacresvictoria,Unlikely Doohoma,Glencoe Queen,3.75,3.75,5.0
2026-01-18,Kinsley,18:08,D3,D3,Tally Ho Lexi,Moanteen Chick,Fuel Inthe Flame,3.0,4.5,4.5
2026-01-18,Kinsley,18:26,A6,A6,Teddys Beauty,Blueview Sugger,Not Wired Up,3.75,4.5,4.5
2026-01-18,Kinsley,18:42,D5,D5,Noirs Coach,Lets Go Winnie,Lets Go Drago,3.0,3.25,4.5
2026-01-18,Kinsley,18:59,A8,A8,Two For Gold,Maceyslittlegem,Mohican Yoshi,3.75,4.0,4.5
2026-01-18,Kinsley,19:16,D1,D1,Ard Macha Abu,Canya Jet,Ballymac Pria,2.88,4.5,5.5
2026-01-18,Kinsley,19:33,HP,HP,Holborn Betty,Deecee Ava,Sober Ballad,4.0,4.5,5.0
2026-01-18,Kinsley,19:49,D2,D2,Speedy Killeavy,Grovenor Jessie,Deelish Lucy,3.5,4.33,4.5
2026-01-18,Kinsley,20:07,HP,HP,Yeah Mick,Grovenor Albie,Lightfoot Elle,3.75,4.0,4.0
2026-01-18,Kinsley,20:24,A5,A5,Ballydaniel Cat,Laid Back,Woodenstown Soul,3.75,4.33,5.0
2026-01-18,Kinsley,20:41,A4,A4,Take Top Spot,Swift Office,Ballymac Wynett,3.5,4.5,5.0
2026-01-18,Kinsley,20:59,A7,A7,Zaconey Venus,Hazelgrove Amani,Barter Account,3.75,4.5,5.0
2026-01-18,Kinsley,21:16,D4,D4,Daniel Maxi,Ineedabreak,Spooky Angel,3.0,4.5,5.0
2026-01-18,Doncaster,11:21,B2,B2,Send For You,Trewmount Lady,Miller Spirit,1.73,3.5,5.0
2026-01-18,Doncaster,11:38,B2,B2,Ballymac Aman,Ballinderry Luna,Ballyconnell Rua,2.88,2.88,4.5
2026-01-18,Doncaster,11:54,B2,B2,Redbrick Milner,Gaytime Mona,Jazza Man,2.38,2.38,6.0
2026-01-18,Doncaster,12:12,B4,B4,Redbrick Cool,Redbrick Beyonce,Millhouse Charm,2.38,2.75,3.75
2026-01-18,Doncaster,12:29,B4,B4,Redbrick Rose,Glitter Cooky,Task Maverick,1.57,5.5,5.5
2026-01-18,Doncaster,12:46,B2,B2,Redbrick Daisy,Gotacrushonyou,Lovey Longlegs,1.91,2.88,4.33
2026-01-18,Doncaster,13:03,B4,B4,Redbrick Nuke,Stoney Bono,Luttons Reuben,2.62,3.25,4.0
2026-01-18,Doncaster,13:19,D2,D2,Keefill Apollo,Sparks Charm,Romantic Dano,1.91,4.0,5.5
2026-01-18,Valley,11:29,A2,A2,Da Bold Paris,Clongeel Bono,Rollerball,2.5,4.0,4.0
2026-01-18,Valley,11:47,D2,D2,Hawkfield Coco,Hawkfield Jazz,Amiganwhitenose,2.75,3.25,3.75
2026-01-18,Valley,12:04,A2,A2,Droopys Nijinsky,Sudden Bolt,Crokers Faye,2.2,3.75,4.5
2026-01-18,Valley,12:21,D5,D5,Frugal Frank,Tobergal Suzanne,Hawkfield Hoffa,2.75,4.0,5.0
2026-01-18,Valley,12:38,A3,A3,Santas Ranger,Kranky Tom,Good Streak,2.75,4.0,4.5
2026-01-18,Valley,12:54,D4,D4,Kippagh Epic,Crokers Lisa,Cara Trixie,3.5,4.0,5.5
2026-01-18,Valley,13:12,D6,D6,Hawkfield Nina,Pure Paora,Enchanted Blaze,3.25,3.5,3.75
2026-01-18,Valley,13:29,A5,A5,Crokers Pat,Blastoff Oscar,Country Skipper,2.0,3.5,5.0
2026-01-18,Valley,13:47,D6,D6,Hawkfield Zippy,Bow Fiddle Rock,Pandy Morgan,2.5,4.33,5.0
2026-01-18,Valley,14:03,A6,A6,Knockmant Zee,Crokers Grayson,Crokers Anton,2.38,3.25,4.5
2026-01-18,Valley,14:18,D5,D5,Hawkfield Jasmin,Tobergal Denise,To Bright,3.25,5.0,5.0
2026-01-18,Oxford,14:33,A4,A4,Ragdoll Rosie,Bonita Moon,Dreamin Dot,1.73,3.75,5.5
2026-01-18,Oxford,14:52,A2,A2,Swift Quarter,Shes Welcome,Deelish Crofty,3.0,3.5,4.0
2026-01-18,Oxford,15:11,OR,OR,Ballintemple Dan,Eze,Rapido Judy,3.25,3.5,3.75
2026-01-18,Oxford,15:29,OR,OR,Alright Twinkle,Easy Molly,Newinn Bliss,2.25,5.0,5.5
2026-01-18,Oxford,15:49,OR,OR,Jazzy Soul,Face The Storm,Baggios Belter,3.0,4.5,5.0
2026-01-18,Oxford,16:07,OR,OR,Hoholetsgo,Carrick Scholsey,Havana Sizzler,3.5,4.0,5.5
2026-01-18,Oxford,16:26,OR,OR,Eagles Respect,Alright Patricia,Baggios Dilemma,3.5,3.75,5.0
2026-01-18,Oxford,16:44,OR,OR,Outa The Clouds,Jazzy Mia,Doc Susie,1.62,4.5,5.0
2026-01-18,Oxford,17:03,OR,OR,Droopys Aladdin,Always Hoffa,Crossfield Niall,1.8,5.0,6.0
2026-01-18,Star Pelaw,18:11,A4,A4,Duggies Lilo,Shanahee Roxy,Ma Darlin,3.0,3.75,4.5
2026-01-18,Star Pelaw,18:29,A8,A8,Glenbowen Mabel,Catunda Leo,Oceans Blue,1.73,1.91,4.0
2026-01-18,Star Pelaw,18:46,OR,OR,Killieford Goram,Winter King,Fabulous Spell,1.67,3.0,5.0
2026-01-18,Star Pelaw,19:04,OR,OR,Lightfoot Jamie,Catch The Wind,Loxleys Rex,2.25,3.0,3.5
2026-01-18,Star Pelaw,19:24,OR,OR,Gallarus Sniper,Freedom Pro Am,Townspark Taylor,2.25,2.62,7.0
2026-01-18,Star Pelaw,19:42,OR,OR,Makeit Champion,Twistablindeye,Roanna Speed,1.91,3.5,5.5
2026-01-18,Star Pelaw,19:58,OR,OR,Marymount Joy,Wanted Tibet,Blackstone Senna,1.73,6.0,6.5
2026-01-18,Star Pelaw,20:16,OR,OR,Bisto Jayden,Fruity Sprite,Mid Tipp Franky,1.2,6.5,7.0
2026-01-18,Star Pelaw,20:34,OR,OR,Cash Maker,Beslo Sarah,Fruity Fanta,2.88,3.25,4.33
2026-01-18,Star Pelaw,20:52,OR,OR,Dreamin Porcha,Sunnyside Ted,Nah Then Keefill,2.1,3.2,6.5
2026-01-18,Star Pelaw,21:09,OR,OR,Ballinabola Eve,Fruity Beauty,Innfield Storm,1.83,3.75,4.0
2026-01-18,Star Pelaw,21:26,OR,OR,Keefill Darwin,Leathems Bluey,Links Ginola,2.38,2.88,5.0
2026-01-18,Star Pelaw,21:41,OR,OR,Sunnyside Jayden,Blueys Elle,Moanteen Pudding,2.88,4.0,4.5
